,Unnamed: 0,suburb,postcode,p_type,median_sell,avg_days_on_market,clearance,n_sold,h_range,l_range,median_rent,2022_median,2022_growth,2022_n_sold,2021_median,2021_growth,2021_n_sold,2020_median,2020_growth,2020_n_sold,2019_median,2019_growth,2019_n_sold,2018_median,2018_growth,2018_n_sold
0,0,melbourne,3000, 2_house,-,-,-,5,,,,,,,,,,,,,,,,,,
1,1,melbourne,3000, 3_house,-,-,-,1,,,,,,,,,,,,,,,,,,
2,2,melbourne,3000, 1_unit,$330k,120 days,40%,387,585k,180k,350.0,$330k,-4.3%,387.0,$345k-4.2%3412020$360k,0.6%,4.0,$360k,0.6%,420.0,$358k,-0.6%,479.0,$360k,-15.7%,473.0
3,3,melbourne,3000, 2_unit,$540k,147 days,41%,596,965k,335k,450.0,$540k,-6.1%,596.0,$575k,-4.2%,551.0,$600k,-,626.0,$600k,1.7%,608.0,$590k,-11.5%,627.0
4,4,melbourne,3000, 3_unit,$961k,180 days,55%,78,3.1m,570k,700.0,$961k,-,78.0,$961k,-0.9%,101.0,$970k,-5.7%,124.0,$1.029m,1%,117.0,$1.019m,-0.6%,160.0
5,5,east-melbourne,3002, 2_house,-,-,-,5,,,,,,,,,,,,,,,,,,
6,6,east-melbourne,3002, 3_house,$3.228m,75 days,45%,14,6m,1.675m,970.0,$3.228m,16.7%,14.0,$2.765m,-,22.0,,-,6.0,$2.83m,-,11.0,,-,6.0
7,7,east-melbourne,3002, 4_house,$3.1m,-,-,11,10.35m,1.735m,1000.0,$3.1m,-,11.0,,-,5.0,,-,4.0,,-,6.0,$3.87m,-,11.0
8,8,east-melbourne,3002, 5_house,-,-,-,2,,,,,,,,,,,,,,,,,,
9,9,east-melbourne,3002, 1_unit,$518k,54 days,39%,52,853k,170k,400.0,$518k,-6.3%,52.0,$553k,3.4%,29.0,$535k,13.3%,34.0,$472k,-10.4%,33.0,$527k,-6.6%,44.0
10,10,east-melbourne,3002, 2_unit,$890k,45 days,44%,60,2.5m,555k,540.0,$890k,7.2%,60.0,$830k,-5.3%,51.0,$876k,3.3%,59.0,$848k,-3.6%,33.0,$880k,3.7%,49.0
11,11,east-melbourne,3002, 3_unit,$2.038m,46 days,-,22,6.611m,885k,825.0,$2.038m,27.4%,22.0,$1.6m,-1.5%,17.0,$1.625m,-32.4%,12.0,$2.405m,-17.8%,17.0,$2.925m,50.2%,19.0
12,12,west-melbourne,3003, 2_house,-,-,-,9,,,,,,,,,,,,,,,,,,
13,13,west-melbourne,3003, 3_house,$1.28m,30 days,-,17,1.915m,940k,740.0,$1.28m,9.6%,17.0,$1.168m,-,16.0,,-,9.0,$1.26m,-5.6%,13.0,$1.335m,7.5%,22.0
14,14,west-melbourne,3003, 4_house,-,-,-,5,,,,,,,,,,,,,,,,,,
15,15,west-melbourne,3003, 1_unit,$353k,148 days,-,28,552k,230k,360.0,$353k,0.6%,28.0,$351k,-11.4%,27.0,$396k,-1.2%,38.0,$401k,-7.8%,36.0,$435k,-4.4%,101.0
16,16,west-melbourne,3003, 2_unit,$598k,90 days,52%,54,930k,400k,460.0,$598k,4%,54.0,$575k,-12.9%,73.0,$660k,8.4%,110.0,$609k,-10%,69.0,$677k,7.1%,182.0
17,17,west-melbourne,3003, 3_unit,$1m,65 days,-,19,1.705m,650k,650.0,$1m,2.6%,19.0,$975k,-7.2%,18.0,$1.051m,4.2%,27.0,$1.009m,13.4%,21.0,$890k,28.1%,53.0
18,18,melbourne,3004, 1_unit,$400k,145 days,-,121,715k,210k,375.0,$400k,-4.8%,121.0,$420k,-,126.0,$420k,9.1%,116.0,$385k,-5.6%,74.0,$408k,4.6%,107.0
19,19,melbourne,3004, 2_unit,$706k,117 days,63%,212,1.6m,417k,530.0,$706k,8.6%,212.0,$650k,-4.4%,179.0,$680k,4.1%,156.0,$653k,-5.8%,124.0,$693k,-2.1%,161.0
20,20,melbourne,3004, 3_unit,$1.295m,115 days,-,82,3.7m,720k,750.0,$1.295m,2.8%,82.0,$1.26m,-11.5%,75.0,$1.424m,1.7%,59.0,$1.4m,-6%,66.0,$1.49m,9.2%,60.0
21,21,southbank,3006, 2_house,$623k,96 days,-,13,1.21m,355k,485.0,$623k,-,13.0,,-,4.0,,-,1.0,,-,3.0,,-,4.0
22,22,southbank,3006, 3_house,-,-,-,1,,,,,,,,,,,,,,,,,,
23,23,southbank,3006, 4_house,-,-,-,1,,,,,,,,,,,,,,,,,,
24,24,southbank,3006, 1_unit,$400k,107 days,-,164,650k,260k,370.0,$400k,2.6%,164.0,$390k,-12.6%,169.0,$446k,4.9%,179.0,$425k,-2.3%,245.0,$435k,-,251.0
25,25,southbank,3006, 2_unit,$595k,96 days,59%,374,970k,400k,490.0,$595k,0.3%,374.0,$593k,-1.5%,329.0,$602k,-1%,472.0,$608k,2.2%,526.0,$595k,-4%,504.0
26,26,southbank,3006, 3_unit,$960k,81 days,38%,87,2.28m,665k,695.0,$960k,10.3%,87.0,$870k,-21.8%,105.0,$1.112m,15.4%,112.0,$964k,0.5%,110.0,$959k,12.8%,113.0
27,27,docklands,3008, 2_house,-,-,-,3,,,,,,,,,,,,,,,,,,
28,28,docklands,3008, 3_house,-,-,-,6,,,,,,,,,,,,,,,,,,
29,29,docklands,3008, 4_house,-,-,-,3,,,,,,,,,,,,,,,,,,
30,30,docklands,3008, 5_house,-,-,-,1,,,,,,,,,,,,,,,,,,
31,31,docklands,3008, 1_unit,$410k,101 days,-,138,620k,310k,400.0,$410k,2.5%,138.0,$400k,-7%,89.0,$430k,-4.4%,149.0,$450k,7.4%,163.0,$419k,-11.8%,168.0
32,32,docklands,3008, 2_unit,$645k,109 days,54%,278,1.07m,450k,520.0,$645k,4%,278.0,$620k,-7.5%,224.0,$670k,-0.7%,311.0,$675k,3.1%,334.0,$655k,1.4%,337.0
33,33,docklands,3008, 3_unit,$1.185m,116 days,-,70,2m,795k,880.0,$1.185m,0.9%,70.0,$1.175m,-,58.0,$1.175m,-6%,83.0,$1.25m,5.2%,74.0,$1.188m,3.3%,93.0
34,34,footscray,3011, 2_house,$845k,53 days,56%,61,1.3m,520k,430.0,$845k,8.3%,61.0,$780k,9.1%,81.0,$715k,1.4%,59.0,$705k,-9.4%,52.0,$778k,4.1%,60.0
35,35,footscray,3011, 3_house,$1.069m,113 days,66%,92,1.545m,650k,520.0,$1.069m,13.7%,92.0,$940k,3.1%,99.0,$912k,2.1%,69.0,$893k,-0.8%,56.0,$900k,3.7%,70.0
36,36,footscray,3011, 4_house,$1.25m,-,53%,16,1.76m,800k,580.0,$1.25m,25%,16.0,$1m,-8.4%,15.0,$1.092m,12.8%,12.0,$968k,-11.6%,16.0,$1.095m,-0.5%,17.0
37,37,footscray,3011, 5_house,-,-,-,1,,,,,,,,,,,,,,,,,,
38,38,footscray,3011, 1_unit,$390k,148 days,35%,85,575k,193k,295.0,$390k,1%,85.0,$386k,6.6%,92.0,$362k,9.7%,73.0,$330k,-16.2%,68.0,$394k,-,152.0
39,39,footscray,3011, 2_unit,$500k,88 days,36%,234,700k,330k,390.0,$500k,-2%,234.0,$510k,4.9%,242.0,$486k,3.4%,210.0,$470k,-15.3%,173.0,$555k,9.9%,420.0
40,40,footscray,3011, 3_unit,$680k,196 days,43%,54,1.125m,475k,530.0,$680k,3.2%,54.0,$659k,-5.3%,29.0,$696k,18%,42.0,$590k,-11.1%,35.0,$664k,10.9%,74.0
41,41,seddon,3011, 2_house,$933k,41 days,50%,36,1.47m,715k,490.0,$933k,3.7%,36.0,$900k,1.1%,38.0,$890k,7.5%,18.0,$828k,-10.5%,24.0,$925k,-1.6%,41.0
42,42,seddon,3011, 3_house,$1.21m,46 days,49%,49,1.65m,885k,590.0,$1.21m,8%,49.0,$1.12m,8.6%,57.0,$1.031m,6.4%,51.0,$969k,-7.1%,52.0,$1.043m,7.2%,30.0
43,43,seddon,3011, 4_house,$1.394m,-,-,10,2.19m,1.09m,630.0,$1.394m,-4.9%,10.0,$1.466m,8.2%,11.0,$1.355m,-2%,11.0,$1.383m,-,10.0,,-,9.0
44,44,seddon,3011, 5_house,-,-,-,2,,,,,,,,,,,,,,,,,,
45,45,seddon,3011, 1_unit,-,-,-,5,,,,,,,,,,,,,,,,,,
46,46,seddon,3011, 2_unit,$540k,-,60%,13,1.1m,420k,370.0,$540k,2.9%,13.0,$525k,-,18.0,,-,7.0,,-,6.0,,-,9.0
47,47,seddon,3011, 3_unit,-,-,-,1,,,,,,,,,,,,,,,,,,
48,48,brooklyn,3012, 2_house,-,-,-,4,,,,,,,,,,,,,,,,,,
49,49,brooklyn,3012, 3_house,$825k,104 days,69%,22,980k,705k,470.0,$825k,10%,22.0,$750k,12.8%,31.0,$665k,7.3%,19.0,$620k,-9%,27.0,$681k,-5.4%,26.0
50,50,brooklyn,3012, 4_house,-,-,-,4,,,,,,,,,,,,,,,,,,
51,51,brooklyn,3012, 1_unit,-,-,-,2,,,,,,,,,,,,,,,,,,
52,52,brooklyn,3012, 2_unit,$605k,-,-,10,670k,452k,398.0,$605k,0.8%,10.0,$600k,11.7%,19.0,$537k,-,16.0,,-,8.0,$425k,-10%,13.0
53,53,brooklyn,3012, 3_unit,-,-,-,5,,,,,,,,,,,,,,,,,,
54,54,maidstone,3012, 2_house,$691k,47 days,56%,37,1.15m,525k,400.0,$691k,5.8%,37.0,$653k,2%,31.0,$640k,6.3%,41.0,$602k,-6.1%,28.0,$641k,6.8%,54.0
55,55,maidstone,3012, 3_house,$855k,35 days,63%,63,1.235m,625k,460.0,$855k,8.2%,63.0,$790k,9%,71.0,$725k,-1.1%,49.0,$733k,-8.3%,58.0,$799k,7.8%,60.0
56,56,maidstone,3012, 4_house,$1.088m,38 days,64%,28,1.455m,750k,600.0,$1.088m,18.3%,28.0,$920k,6%,24.0,$868k,9.9%,22.0,$790k,-14.1%,15.0,$920k,19%,12.0
57,57,maidstone,3012, 5_house,-,-,-,1,,,,,,,,,,,,,,,,,,
58,58,maidstone,3012, 1_unit,-,-,-,4,,,,,,,,,,,,,,,,,,
59,59,maidstone,3012, 2_unit,$450k,76 days,44%,55,680k,350k,360.0,$450k,2.3%,55.0,$440k,-8.1%,31.0,$479k,14.9%,41.0,$417k,-0.2%,41.0,$418k,11.5%,32.0
60,60,maidstone,3012, 3_unit,$712k,20 days,-,14,840k,560k,480.0,$712k,-3.8%,14.0,$740k,11.3%,10.0,$665k,0.8%,21.0,$660k,-,11.0,,-,4.0
61,61,west-footscray,3012, 2_house,$764k,45 days,71%,62,1.35m,611k,430.0,$764k,11%,62.0,$688k,-6.4%,54.0,$735k,2.1%,45.0,$720k,-1.4%,35.0,$730k,-2.4%,59.0
62,62,west-footscray,3012, 3_house,$976k,47 days,57%,94,1.58m,715k,490.0,$976k,7.8%,94.0,$905k,13.1%,87.0,$800k,-,82.0,$800k,-8%,67.0,$870k,0.8%,91.0
63,63,west-footscray,3012, 4_house,$1.1m,68 days,58%,25,1.88m,790k,550.0,$1.1m,-3.3%,25.0,$1.138m,3.3%,20.0,$1.102m,4%,15.0,$1.06m,-6.2%,10.0,$1.13m,20.5%,14.0
64,64,west-footscray,3012, 5_house,-,-,-,4,,,,,,,,,,,,,,,,,,
65,65,west-footscray,3012, 1_unit,$285k,92 days,-,18,430k,202k,250.0,$285k,-3.1%,18.0,$294k,21%,20.0,$243k,-10%,23.0,$270k,-2.2%,21.0,$276k,-3.2%,20.0
66,66,west-footscray,3012, 2_unit,$490k,95 days,56%,73,750k,295k,340.0,$490k,5.6%,73.0,$464k,-7.8%,63.0,$503k,17%,57.0,$430k,-2.3%,60.0,$440k,6.3%,61.0
67,67,west-footscray,3012, 3_unit,$693k,-,79%,16,890k,510k,440.0,$693k,1.6%,16.0,$682k,-7.2%,10.0,$735k,-,13.0,,-,9.0,,-,4.0
68,68,yarraville,3013, 2_house,$960k,58 days,65%,73,1.35m,620k,490.0,$960k,7.9%,73.0,$890k,1.7%,92.0,$875k,10.6%,66.0,$791k,-13.1%,51.0,$910k,-2.5%,85.0
69,69,yarraville,3013, 3_house,$1.26m,42 days,64%,143,1.705m,845k,580.0,$1.26m,12.7%,143.0,$1.118m,13.8%,137.0,$982k,6.6%,112.0,$921k,-7.4%,94.0,$995k,-5.2%,116.0
70,70,yarraville,3013, 4_house,$1.59m,53 days,65%,59,2.425m,890k,680.0,$1.59m,19.7%,59.0,$1.328m,5%,40.0,$1.265m,13.4%,37.0,$1.116m,-25.7%,40.0,$1.502m,12.3%,31.0
71,71,yarraville,3013, 5_house,-,-,-,8,,,,,,,,,,,,,,,,,,
72,72,yarraville,3013, 1_unit,$392k,108 days,-,15,600k,315k,310.0,$392k,-6%,15.0,$417k,15.2%,10.0,$362k,-,10.0,,-,7.0,$402k,7.8%,13.0
73,73,yarraville,3013, 2_unit,$585k,76 days,61%,40,900k,392k,400.0,$585k,-7.9%,40.0,$635k,5.8%,59.0,$600k,12.8%,43.0,$532k,4.1%,29.0,$511k,-11.9%,30.0
74,74,yarraville,3013, 3_unit,-,-,-,5,,,,,,,,,,,,,,,,,,
75,75,newport,3015, 2_house,$995k,36 days,59%,27,1.635m,635k,450.0,$995k,7.6%,27.0,$925k,11.4%,37.0,$830k,13.9%,39.0,$729k,-23.3%,36.0,$950k,11.8%,37.0
76,76,newport,3015, 3_house,$1.25m,46 days,74%,125,1.808m,850k,568.0,$1.25m,10.1%,125.0,$1.135m,16.3%,111.0,$976k,3.3%,101.0,$945k,-9.8%,116.0,$1.048m,8%,110.0
77,77,newport,3015, 4_house,$1.52m,45 days,53%,49,2.3m,960k,700.0,$1.52m,13.4%,49.0,$1.34m,6.1%,52.0,$1.263m,4.8%,51.0,$1.205m,0.4%,53.0,$1.2m,8.3%,50.0
78,78,newport,3015, 5_house,$1.643m,-,-,10,2.17m,1.275m,,$1.643m,-,10.0,,-,9.0,$1.253m,-,10.0,,-,5.0,,-,3.0
79,79,newport,3015, 1_unit,-,-,-,6,,,,,,,,,,,,,,,,,,
80,80,newport,3015, 2_unit,$618k,66 days,71%,42,770k,340k,400.0,$618k,0.5%,42.0,$615k,-,35.0,$615k,16.7%,16.0,$527k,-11.9%,15.0,$598k,1.5%,36.0
81,81,newport,3015, 3_unit,$880k,47 days,73%,25,1.325m,780k,550.0,$880k,6.7%,25.0,$825k,-0.6%,27.0,$830k,-,11.0,,-,6.0,$850k,9.3%,13.0
82,82,south-kingsville,3015, 2_house,-,-,-,4,,,,,,,,,,,,,,,,,,
83,83,south-kingsville,3015, 3_house,$983k,57 days,81%,26,1.29m,760k,510.0,$983k,2.9%,26.0,$955k,11.2%,25.0,$859k,7.6%,17.0,$798k,-19.2%,26.0,$988k,13.6%,26.0
84,84,south-kingsville,3015, 4_house,-,-,-,6,,,,,,,,,,,,,,,,,,
85,85,south-kingsville,3015, 2_unit,$595k,-,-,14,820k,460k,340.0,$595k,20.2%,14.0,$495k,-9%,14.0,$544k,-,10.0,,-,6.0,,-,5.0
86,86,south-kingsville,3015, 3_unit,-,-,-,4,,,,,,,,,,,,,,,,,,
87,87,spotswood,3015, 2_house,-,-,-,7,,,,,,,,,,,,,,,,,,
88,88,spotswood,3015, 3_house,$1.17m,37 days,44%,23,1.55m,940k,550.0,$1.17m,17%,23.0,$1m,7%,23.0,$935k,-1.6%,24.0,$950k,-9.1%,21.0,$1.045m,6%,28.0
89,89,spotswood,3015, 4_house,$1.437m,-,62%,14,1.874m,1.125m,795.0,$1.437m,22.3%,14.0,$1.175m,-6%,13.0,$1.25m,15.4%,10.0,$1.083m,-6.2%,10.0,$1.155m,-,13.0
90,90,spotswood,3015, 1_unit,-,-,-,3,,,,,,,,,,,,,,,,,,
91,91,spotswood,3015, 2_unit,-,-,-,6,,,,,,,,,,,,,,,,,,
92,92,williamstown,3016, 2_house,$1.163m,61 days,47%,20,1.765m,495k,495.0,$1.163m,10.8%,20.0,$1.05m,15%,27.0,$913k,6%,24.0,$861k,-3.7%,30.0,$894k,-9.2%,26.0
93,93,williamstown,3016, 3_house,$1.53m,57 days,68%,114,2.6m,1.075m,670.0,$1.53m,3.7%,114.0,$1.476m,12.5%,101.0,$1.312m,6%,84.0,$1.238m,-8.3%,104.0,$1.35m,4.8%,123.0
94,94,williamstown,3016, 4_house,$1.845m,43 days,65%,62,3.05m,1.365m,900.0,$1.845m,0.4%,62.0,$1.838m,6.4%,71.0,$1.728m,4.7%,40.0,$1.65m,-17.4%,44.0,$1.998m,16.8%,44.0
95,95,williamstown,3016, 5_house,-,-,-,4,,,,,,,,,,,,,,,,,,
96,96,williamstown,3016, 1_unit,$525k,100 days,-,17,1m,250k,350.0,$525k,42.3%,17.0,$369k,-9.3%,18.0,$407k,-,18.0,,-,7.0,,-,5.0
97,97,williamstown,3016, 2_unit,$731k,85 days,67%,68,1.45m,470k,410.0,$731k,4.9%,68.0,$697k,5%,68.0,$664k,15.3%,54.0,$576k,-7.4%,28.0,$622k,13.1%,41.0
98,98,williamstown,3016, 3_unit,$1.08m,-,-,11,3.05m,740k,550.0,$1.08m,-12.3%,11.0,$1.231m,-1.1%,18.0,$1.245m,-1.8%,21.0,$1.268m,-6.1%,10.0,$1.351m,35.1%,12.0
99,99,williamstown-north,3016, 2_house,-,-,-,6,,,,,,,,,,,,,,,,,,
100,100,williamstown-north,3016, 3_house,-,-,-,3,,,,,,,,,,,,,,,,,,
101,101,williamstown-north,3016, 1_unit,-,-,-,3,,,,,,,,,,,,,,,,,,
102,102,williamstown-north,3016, 2_unit,-,-,-,6,,,,,,,,,,,,,,,,,,
103,103,williamstown-north,3016, 3_unit,-,-,-,7,,,,,,,,,,,,,,,,,,
104,104,altona,3018, 2_house,$719k,83 days,-,26,1.605m,630k,400.0,$719k,2.7%,26.0,$700k,7.2%,33.0,$653k,4.6%,19.0,$624k,-10.6%,26.0,$698k,8.6%,32.0
105,105,altona,3018, 3_house,$1.075m,56 days,48%,105,1.72m,783k,495.0,$1.075m,14.2%,105.0,$941k,9.4%,112.0,$860k,5.1%,107.0,$818k,-8.1%,104.0,$890k,6%,120.0
106,106,altona,3018, 4_house,$1.385m,64 days,33%,42,2m,960k,640.0,$1.385m,24.2%,42.0,$1.115m,8.8%,66.0,$1.025m,1.5%,65.0,$1.01m,-1.9%,34.0,$1.03m,8.4%,42.0
107,107,altona,3018, 5_house,$1.85m,-,46%,15,2.502m,1.15m,,$1.85m,21.5%,15.0,$1.523m,-,10.0,,-,3.0,,-,3.0,,-,2.0
108,108,altona,3018, 1_unit,-,-,-,7,,,,,,,,,,,,,,,,,,
109,109,altona,3018, 2_unit,$650k,91 days,57%,47,815k,450k,360.0,$650k,1.9%,47.0,$638k,6.3%,69.0,$600k,9.1%,43.0,$550k,-5.5%,39.0,$582k,5.8%,52.0
110,110,altona,3018, 3_unit,$880k,111 days,50%,31,1.25m,730k,470.0,$880k,5.3%,31.0,$836k,16.3%,21.0,$719k,-1.5%,17.0,$730k,-6.4%,13.0,$780k,11.1%,21.0
111,111,seaholme,3018, 3_house,$1.152m,49 days,60%,22,2.385m,905k,500.0,$1.152m,17.6%,22.0,$980k,8.9%,16.0,$900k,-9.5%,13.0,$995k,6.1%,16.0,$938k,9.7%,16.0
112,112,seaholme,3018, 4_house,$1.26m,46 days,-,11,2.3m,1.12m,,$1.26m,-,11.0,,-,8.0,$1.12m,-,11.0,,-,7.0,,-,9.0
113,113,seaholme,3018, 5_house,-,-,-,2,,,,,,,,,,,,,,,,,,
114,114,seaholme,3018, 2_unit,-,-,-,3,,,,,,,,,,,,,,,,,,
115,115,seaholme,3018, 3_unit,-,-,-,2,,,,,,,,,,,,,,,,,,
116,116,braybrook,3019, 2_house,$609k,46 days,33%,43,975k,540k,390.0,$609k,1.5%,43.0,$600k,2%,51.0,$588k,3.2%,43.0,$570k,-16.8%,19.0,$685k,8.2%,55.0
117,117,braybrook,3019, 3_house,$710k,65 days,49%,112,903k,565k,430.0,$710k,2.7%,112.0,$691k,5.8%,99.0,$653k,0.6%,136.0,$649k,-6.6%,47.0,$695k,8.6%,81.0
118,118,braybrook,3019, 4_house,$877k,46 days,50%,25,1.235m,680k,535.0,$877k,9.6%,25.0,$800k,-0.7%,33.0,$806k,4.3%,22.0,$773k,0.4%,19.0,$770k,3.4%,15.0
119,119,braybrook,3019, 5_house,-,-,-,2,,,,,,,,,,,,,,,,,,
120,120,braybrook,3019, 1_unit,-,-,-,4,,,,,,,,,,,,,,,,,,
121,121,braybrook,3019, 2_unit,$405k,-,-,13,605k,325k,350.0,$405k,-,13.0,$405k,-15.3%,17.0,$478k,11.2%,21.0,$430k,10.3%,11.0,$390k,-10.3%,10.0
122,122,braybrook,3019, 3_unit,-,-,-,4,,,,,,,,,,,,,,,,,,
123,123,albion,3020, 2_house,$578k,-,-,16,900k,280k,380.0,$578k,-,16.0,,-,7.0,$550k,2.4%,11.0,$537k,-3.2%,12.0,$555k,-5.5%,24.0
124,124,albion,3020, 3_house,$773k,50 days,64%,32,1.205m,622k,380.0,$773k,2.4%,32.0,$755k6.6%252020$708k,6%,,$708k,6%,20.0,$668k,-5.4%,33.0,$706k,1.9%,29.0
125,125,albion,3020, 4_house,-,-,45%,9,,,,,,,,,,,,,,,,,,
126,126,albion,3020, 1_unit,$217k,79 days,-,18,260k,188k,230.0,$217k,7.4%,18.0,$202k,6.3%,15.0,$190k,-5.5%,13.0,$201k,5.8%,16.0,$190k,5%,13.0
127,127,albion,3020, 2_unit,$280k,105 days,-,26,468k,250k,280.0,$280k,2.2%,26.0,$274k,-24.9%,18.0,$365k,32.7%,21.0,$275k,2.2%,21.0,$269k,12.1%,18.0
128,128,albion,3020, 3_unit,-,-,-,6,,,,,,,,,,,,,,,,,,
129,129,sunshine,3020, 2_house,$668k,75 days,90%,30,1.4m,405k,360.0,$668k,-2.5%,30.0,$685k12.3%172020$610k,8%,,$610k,8%,20.0,$565k,-18.1%,22.0,$690k,13.9%,31.0
130,130,sunshine,3020, 3_house,$870k,51 days,54%,103,1.271m,690k,390.0,$870k,14.5%,103.0,$760k,-,72.0,$760k,9.4%,77.0,$695k,-7.3%,73.0,$750k,0.5%,69.0
131,131,sunshine,3020, 4_house,$1.033m,58 days,52%,26,1.452m,745k,430.0,$1.033m,14.7%,26.0,$901k,-0.4%,26.0,$905k,16.3%,15.0,$778k,-17.9%,16.0,$948k,16.7%,16.0
132,132,sunshine,3020, 5_house,-,-,-,2,,,,,,,,,,,,,,,,,,
133,133,sunshine,3020, 1_unit,-,-,-,7,,,,,,,,,,,,,,,,,,
134,134,sunshine,3020, 2_unit,$555k,232 days,33%,25,682k,320k,340.0,$555k,-4.3%,25.0,$580k,48.7%,35.0,$390k,6.8%,22.0,$365k,1.4%,17.0,$360k,17.3%,28.0
135,135,sunshine,3020, 3_unit,$720k,-,-,10,827k,550k,415.0,$720k,8.6%,10.0,$663k,-,24.0,,-,7.0,,-,6.0,,-,4.0
136,136,sunshine-north,3020, 2_house,$572k,60 days,90%,43,818k,515k,350.0,$572k,-1%,43.0,$578k,3.2%,32.0,$560k,-6.7%,14.0,$600k,3.4%,32.0,$580k,9.6%,16.0
137,137,sunshine-north,3020, 3_house,$725k,59 days,51%,88,1.08m,600k,370.0,$725k,5.8%,88.0,$685k,3.8%,128.0,$660k,1.7%,88.0,$649k,-4.6%,128.0,$680k,10.6%,65.0
138,138,sunshine-north,3020, 4_house,$800k,35 days,60%,25,1.23m,691k,455.0,$800k,2.7%,25.0,$779k,3.9%,39.0,$750k,4.3%,18.0,$719k,1%,43.0,$712k,5.3%,23.0
139,139,sunshine-north,3020, 5_house,-,-,-,4,,,,,,,,,,,,,,,,,,
140,140,sunshine-north,3020, 1_unit,-,-,-,2,,,,,,,,,,,,,,,,,,
141,141,sunshine-north,3020, 2_unit,-,-,-,7,,,,,,,,,,,,,,,,,,
142,142,sunshine-north,3020, 3_unit,-,-,-,1,,,,,,,,,,,,,,,,,,
143,143,sunshine-west,3020, 2_house,$643k,79 days,64%,17,845k,430k,350.0,$643k,23.9%,17.0,$519k,-,16.0,,-,9.0,$503k,-12.1%,13.0,$572k,25.7%,11.0
144,144,sunshine-west,3020, 3_house,$733k,52 days,60%,158,956k,590k,370.0,$733k,11.6%,158.0,$657k,2.7%,140.0,$640k,6.7%,119.0,$600k,-2%,111.0,$612k,8.1%,159.0
145,145,sunshine-west,3020, 4_house,$795k,65 days,32%,40,1.085m,675k,435.0,$795k,7.6%,40.0,$739k,11.1%,44.0,$665k,3.7%,47.0,$641k,-8.2%,36.0,$698k,15.2%,44.0
146,146,sunshine-west,3020, 5_house,$1.075m,-,-,10,1.6m,790k,,$1.075m,-,10.0,,-,6.0,,-,6.0,,-,5.0,,-,9.0
147,147,sunshine-west,3020, 1_unit,-,-,-,5,,,,,,,,,,,,,,,,,,
148,148,sunshine-west,3020, 2_unit,$445k,92 days,-,12,599k,335k,320.0,$445k,-11%,12.0,$500k,-,15.0,,-,5.0,,-,8.0,$388k,7.5%,14.0
149,149,sunshine-west,3020, 3_unit,-,-,-,7,,,,,,,,,,,,,,,,,,
150,150,albanvale,3021, 2_house,-,-,-,3,,,,,,,,,,,,,,,,,,
151,151,albanvale,3021, 3_house,$615k,80 days,60%,48,690k,532k,340.0,$615k,7.3%,48.0,$573k,11.7%,49.0,$513k,0.4%,43.0,$511k,-7.1%,40.0,$550k,16.5%,66.0
152,152,albanvale,3021, 4_house,$658k,-,-,12,810k,545k,,$658k,-1.3%,12.0,$667k,24.7%,18.0,$535k,1.9%,11.0,$525k,-7.9%,11.0,$570k,10.3%,25.0
153,153,albanvale,3021, 5_house,-,-,-,1,,,,,,,,,,,,,,,,,,
154,154,albanvale,3021, 3_unit,-,-,-,3,,,,,,,,,,,,,,,,,,
155,155,kealba,3021, 2_house,-,-,-,2,,,,,,,,,,,,,,,,,,
156,156,kealba,3021, 3_house,$660k,32 days,54%,21,805k,572k,370.0,$660k,4.8%,21.0,$630k,5.7%,27.0,$596k,4.4%,15.0,$571k,-7.5%,17.0,$617k,7.3%,26.0
157,157,kealba,3021, 4_house,-,-,-,8,,,,,,,,,,,,,,,,,,
158,158,st-albans,3021, 2_house,$532k,68 days,50%,32,778k,437k,340.0,$532k,8.6%,32.0,$490k,-8.2%,37.0,$534k,18.7%,30.0,$450k,-8%,29.0,$489k,11.1%,65.0
159,159,st-albans,3021, 3_house,$673k,78 days,56%,310,900k,520k,360.0,$673k,7.7%,310.0,$625k,5.9%,303.0,$590k,4.2%,201.0,$566k,-8%,218.0,$615k,11.8%,328.0
160,160,st-albans,3021, 4_house,$772k,60 days,44%,65,1.005m,610k,420.0,$772k,13.2%,65.0,$682k,7.7%,70.0,$633k,2.9%,64.0,$615k,-5.8%,54.0,$653k,5.3%,62.0
161,161,st-albans,3021, 5_house,$786k,73 days,-,14,950k,70k,465.0,$786k,12%,14.0,$702k,8.2%,14.0,$649k,6.2%,10.0,$611k,-13.5%,10.0,$706k,3.7%,14.0
162,162,st-albans,3021, 1_unit,-,-,-,3,,,,,,,,,,,,,,,,,,
163,163,st-albans,3021, 2_unit,$400k,98 days,25%,71,513k,278k,300.0,$400k,-4.8%,71.0,$420k,4.2%,57.0,$403k,11.9%,37.0,$360k,-5.3%,34.0,$380k,18.8%,53.0
164,164,st-albans,3021, 3_unit,$548k,53 days,-,47,650k,430k,350.0,$548k,7.7%,47.0,$509k,8.8%,46.0,$468k,2.9%,42.0,$455k,-7.5%,31.0,$492k,17.7%,34.0
165,165,ardeer,3022, 2_house,-,-,-,6,,,,,,,,,,,,,,,,,,
166,166,ardeer,3022, 3_house,$677k,47 days,58%,37,917k,540k,350.0,$677k,7.5%,37.0,$630k,6.8%,35.0,$590k,1.7%,22.0,$580k,-6.6%,29.0,$621k,9.9%,59.0
167,167,ardeer,3022, 4_house,-,-,-,4,,,,,,,,,,,,,,,,,,
